question,ground_truth
What should I do if I have been involved in a scam?,You may visit this link for assistance if you believe you may have been involved in a scam: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams
What are the penalties if I have borrowed money from unlicensed moneylenders?,"If you have been found to have borrowed money from unlicensed moneylenders, your work permit could be revoked and therefore you will be unable to work in Singapore. The following links contain other relevant legal information regarding the penalties for borrowing money from unlicensed moneylenders: 
https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-11-police-advisory-on-unlicensed-moneylending-borrowers.pdf 

https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-20-3-things-to-tell-your-fdw-about-borrowing-singapore.pdf"
What should I do if I receive a call or text message from an unfamiliar phone number who says they are from government agencies such as MOM or the police?,"Should you receive such a call, it is likely to be a phishing scam whereby someone pretends to be someone they are not in order to access sensitive information such as your bank account details. Do not click on links in unsolicited text messages and emails. If you need to access your bank account, use the official app or type in your bank's web address into your web browser to ensure that you are navigating to the official website. You may visit the following link for more information on how to protect yourself in these situations: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams"
How can I keep updated with the latest rules and regulations in Singapore?,You may visit official websites such as www.gov.sg and www.mom.gov.sg for the latest updates to the rules and regulations in Singapore. Alternatively you may access the myMOM portal for regular updates as well.
Where can I go for help if I have financial difficulties?,"You may visit the following channels if you are facing financial difficulties. 
Credit Counselling Singapore: 6225-5227 (www.ccs.org.sg) 
National Council on Problem Gambling: 1800-6-668-668 (www.ncpg.org.sg) 
ComCare: 1800-222-0000 (www.msf.gov.sg/comcare)"
Where is the most fun place in China?,"I'm sorry we don't have information about other countries. You may ask questions related to Singapore, we will be happy to help!"
Which is the most properous city in China?,"I'm sorry we don't have information about other countries. You may ask questions related to Singapore, we will be happy to help!"
What happens if I am caught littering?,"If you are caught littering, you will be fined $300 for the first offence and $600 per offence thereafter "
Are there restrictions on drinking alcohol outside?,"You may buy and drink alcohol outside anytime except for the hours between 10:30pm to 7am daily. You may visit this link for more information on the matter: https://www.mha.gov.sg/docs/default-source/media-room-doc/annexestothepressreleaseonfirstreadingofliquorcontrolsupplyandconsumptionbill.pdf?sfvrsn=d9df36e2_0#:~:text=Under%20the%20new%20Bill%2C%20the,of%20liquor%20in%20public%20places.

https://www.3mk.sg/blogs/three-musketeers-liquor-blog/drinking-laws-in-singapore-2023"
How to help my friend who got scammed?,You may visit the Ant-Scam Resource Guide for information or access scamshield on how to get help for people who have been scammed
How can I go around Singapore by myself?,You may use the ez-link card to take bus or the train (MRT). These can be purchased from convenience stores like 7-11 or the MRT stations and you can top up your card using the machines at the MRT stations. For more information you may refer to this link: https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf
What are the rules about jaywalking in Singapore?,You will be fined $50 for the first offence if caught jaywalking.
