question,ground_truth,answer,contexts,faithfulness,answer_relevancy,context_precision,context_relevancy,context_recall,answer_similarity,answer_correctness
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,A good place to send money home is through authorised remittance kiosks located in dormitories or at a recreation centre. You can also use licensed online remittance services and mobile apps. Remember to avoid unlicensed remittance agents and never send money through WhatsApp or any instant messaging platforms. Thanks for asking!,"[""{'money home through WhatsApp or any instant messaging platforms. Check \\nif the remittance company is licensed by searching their name on Monetary \\nAuthority of Singapore’s website at https://eservices.mas.gov.sg/fid.', 'yourself whether you really need it.\\nRemit Money Home Safely \\n• Automated Remittance Kiosk \\n    Use authorised remittance kiosks located in dormitories or at a recreation centre \\nUnlicensed remittance agents such as hawala or hundi brokers may run away with \\nyour money. \\n•    Online Remittance Websites and Mobile Apps\\n    Use only licensed online remittance services and mobile apps. Never send \\nmoney home through WhatsApp or any instant messaging platforms. Check', 'how much you need to send home\\nMonthly Savings Goal\\nhow much you need to save \\nto reach your goals\\nMONEY MANAGEMENT GUIDE FOR MIGRANT DOMESTIC WORKERSIncome$______\\nRemittance- $______\\nMonthly  \\nSavings Goal- $______ =\\nBalance$______\\nTry your best to stick to your budget! Remember, saving one \\nmonth and spending it all the next month is not saving.', '39\\nSeek Help\\nIf you face financial difficulties, approach your employer to discuss what can be done. \\nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\\n    If you are unable to send money home on your own, ask your employer to assist \\nyou. Your employer must show you proof of the successful remittance transaction. \\n It is not safe to carry large amounts of cash in crowded public places.'}""]",1.0,0.9753938932439575,0.9999999999,0.07142857142857142,1.0,0.940800925237639,0.7352002313094097
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ","If you are unable to remit money back home, you can approach your employer for assistance. They may be able to help you with the remittance process or provide alternative solutions. Additionally, you can contact the Migrant Workers' Centre (MWC) at 6536 2692 for advice and support. Thanks for asking!","[""{'Will the Police be able to recover my money?\\nA typical modus operandi by scam syndicat es is to move scammed monies quickly between\\nmultiple bank accounts, including to overseas bank accounts.\\nIf the money is transferred overseas, fund recovery can be challenging as different\\njurisdictions have different recovery process and legislation.\\nThe chance of recover y once the funds have been transferred out of Singapore is very low,\\nand it is likely that the money may no longer be recoverable.', 'yourself whether you really need it.\\nRemit Money Home Safely \\n• Automated Remittance Kiosk \\n    Use authorised remittance kiosks located in dormitories or at a recreation centre \\nUnlicensed remittance agents such as hawala or hundi brokers may run away with \\nyour money. \\n•    Online Remittance Websites and Mobile Apps\\n    Use only licensed online remittance services and mobile apps. Never send \\nmoney home through WhatsApp or any instant messaging platforms. Check', '39\\nSeek Help\\nIf you face financial difficulties, approach your employer to discuss what can be done. \\nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\\n    If you are unable to send money home on your own, ask your employer to assist \\nyou. Your employer must show you proof of the successful remittance transaction. \\n It is not safe to carry large amounts of cash in crowded public places.', 'It is not safe to carry large amounts of cash in crowded public places. \\n Do not engage unlicensed remittance agents such as hawala or hundi brokers as \\nthey may run away with your money. \\n It is illegal to operate an unlicensed remittance business, or to be involved with \\none. If caught doing so, you will be fined up to $100,000 or jailed for up to 2 \\nyears, or both. Your work permit will be revoked. \\nUnlicensed Moneylenders'}""]",1.0,0.957397191659313,0.9999999999,0.21052631578947367,0.75,0.880923033961504,0.407730758490376
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services","If you are feeling sick, you can go to the MOM Medical Centre that you are enrolled with. You can find the MOM Medical Centre on your FWMOMCare App under ""Find a Doctor"". Please click on ""Find a Doctor"" to book an appointment and once confirmed, you will receive an SMS with the date, time, location of the MOM Medical Centre you should go to. Remember to inform your employer when you are sick and obtain a medical certificate and receipt for payment from the medical clinic to give to your employer. Thanks for Asking!","[""{'4. FAQs for PCP -eligible Workers  ................................ ................................ ... 18 \\n4.1. What am I covered for under the P CP? ................................ ................................ .... 18 \\n4.2. Which doctor should I go to when I feel sick?  ................................ ...........................  18 \\n4.3. How much do I have to pay when I see the doctor in the new primary healthcare', 'FIND A DOCTOR\\nFind A Doctor can be found on the Menu  / Home PageFWMOMCare App  – Find A Doctor', '30\\nSEEKING MEDICAL TREATMENT\\nInform your employer when you are sick and that you need to see a doctor.\\nYou can see a doctor at:\\nYour employer must allow you to see a doctor and he is responsible for paying your \\nmedical bills. Please remember to obtain a medical certificate and a receipt for payment \\nfrom the medical clinic to give to your employer. You should take a photo of the medical \\ncertificate and receipt for your own records.', 'your Anchor Operator.  \\n \\n4.2. Which doctor should I go to when I feel sick?  \\n• You can find the MOM Medical Centre that you are enrolled with on your \\nFWMOMCare App under “Find a Doctor”.  \\n \\n• Please click o n “Find a Doctor” to book an appointment to see the doctor. Once \\nyour appointment is confirmed, you may receive an SMS to tell you the date, time, \\nlocation of the MOM Medical Centre you should go to and the pick -up time and'}""]",1.0,0.9264172259357878,0.9999999999,0.2962962962962963,1.0,0.8494799206472065,0.2123699801618016
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer","To make a claim for your workplace injury treatment, you need to follow these steps:

1. Inform your employer immediately about your injury and seek medical attention.
2. Attend all scheduled medical appointments and follow the treatment plan recommended by the doctor.
3. Keep copies of all relevant documents, such as medical certificates and medical bills.
4. Hand over the original documents to your employer.
5. Your employer will submit the completed application for work injury compensation to MOM.
6. Cooperate with your employer, the insurer, and the treating doctor to facilitate an early return to work.
7. Remember, failure to attend scheduled medical appointments may result in the suspension of your work injury compensation claim.

Thanks for asking!","[""{'COMPENSATION CLAIM PROCESS\\nYour employee has up to one year from accident to \\nsubmit the completed application for work injury compensation. Ensure that your employee attends all medical appointments and provides required documents to MOM. This will help speed up claim resolution. \\nAn early return to work is the best possible outcome. \\nWork with your injured employee, the insurer and treating doctor to facilitate this outcome. \\n13', 'If you are scheduled for a medical appointment, please attend the \\nappointment and do not instead go to other doctors. The treating doctor is \\nin the best position to assess your injury and aid your recovery. Failure to \\nattend scheduled medical appointments will result in the suspension of \\nyour work injury compensation claim. \\nKeep a copy of the documents relevant to your injuries (e.g. medical \\ncertificates, medical bills) and hand the originals to your employer.', '• Send the medical report form and pay the medical report fees to the hospital or clinic. \\n• Hospital or clinic will assess extent of employee’s injury.• Ensure your employee attends all medical appointments.\\n• This will help speed up his recovery and conclusion of his claims.', '22 The Work Injury Compensation Claim Process'}""]",1.0,0.9715452822012091,0.9999999999,0.7857142857142857,0.5,0.8906569921029418,0.8403113068492649
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit","To renew your work permit, you will need to follow these steps:

1. Your employer should apply for the renewal of your work permit at least one month before it expires. They can do this online through the MOM website or using the WP Online system.

2. Your employer will need to provide the necessary documents and information for the renewal application, such as your passport details, employment contract, and any relevant medical examination reports.

3. Once the application is submitted, MOM will review it and may request additional documents or information if needed.

4. If your renewal application is approved, your employer will receive an In-Principle Approval (IPA) letter. This letter will contain instructions on how to proceed with the renewal process.

5. You and your employer should follow the instructions in the IPA letter, which may include making an appointment for fingerprinting and photo-taking at a designated location.

6. After completing the necessary procedures, you will receive a new work permit card with an extended validity period.

Remember, it is important to start the renewal process early to avoid any disruptions in your employment. If you have any specific questions or need further assistance, you can contact MOM directly or consult with your employer. Thanks for Asking!","['{\'of your card.Should your employer cancel your work permit before it\\nexpires, you will not be allowed to continue working in\\nSingapore. You can check the validity of your work\\npermit by downloading the SGWorkPass app or by\\nlogging on to the MOM website. \\na)   SGWorkPass \\nA free mobile app to check if your work pass is valid. (1)   Checking Validity of Work PermitYou will be fined or jailed. Your work permit will be \\ncancelled.You will not be allowed to \\nwork in Singapore in the \\nfuture.\', \'Updated  on 24 June 2024  \\n \\nPage 1 of 2 \\n How to access myMOM  Portal   \\nTo access  myMOM  Portal , your Corp pass admin istrator  must first add it to your  Corp pass account . Simply follow \\nthese steps:    \\nActions for Corp pass user  \\n \\nCheck if you have access to myMOM  Portal : \\n \\n1. Log in to your Corp pass account . \\n \\n2. Click ‘View My Assigned e -Services ’. \\n \\n3. Check if myMOM  Portal  is listed under \\nyour assigned e -Services . If so, you \\ncan proceed to use myMOM  Portal.\', \'20As a work permit holder, you must comply with the conditions of your work  \\npermit. It is an offence to breach any work permit condition, with the\\nfollowing consequences:EMPLOYMENT LAWS\\nDownload the SGWorkPass app to scan the QR code \\non your work permit card to verify its validity instantly. If \\nyour work permit card does not have a QR code, you can \\nuse the unique Card Serial Number printed on the front \\nof your card.Should your employer cancel your work permit before it\', ""your assigned e -Services . If so, you \\ncan proceed to use myMOM  Portal.  \\n \\nOtherwise, please get your Corp pass \\nAdministrator to  perform the actions \\nbelow.   \\n \\nTip: To check who  is your Corp pass \\nAdministrator , click on the \'Entity \\nDetails’ tab .  1. \\n \\n \\n2.  \\n \\n \\n3.""}']",,0.964833271731662,0.0,0.045454545454545456,1.0,0.9203246253822988,0.2300811563455747
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,"Yes, as an employee in Singapore, you will be covered by insurance provided by your employer. This insurance will cover any medical expenses if you are injured at work. If you have any concerns or questions about your insurance coverage, you can discuss it with your employer or contact the Ministry of Manpower (MOM) for assistance. Thanks for Asking!","[""{'certificates, medical bills) and hand the originals to your employer. \\nThe insurer or MOM will calculate the compensation amount and issue a \\nnotice to you and your employer. If there is no objection to the amount, your \\nemployer/insurer must pay you within 21 days of the notice service date. \\nYour employer will handle your compensation claim and will notify MOM.MOMMC\\n$$$$$$BILL', 'approach MOM if your employer asks you to sign any \\nblank documents, such as payment vouchers or pay \\nslips. In general, employees who do not come forward \\nearly may have difficulty proving their claims to be valid.', '31\\nINJURY FROM WORK\\nYour employer is responsible for the safety, health and well-being of all his employees.\\nWhat to do if you are injured at work?\\nReport your injury to your supervisor/employer and seek \\ntreatment quickly. If you receive any hospitalisation\\nleave/medical leave or light duty from the doctor/dentist, \\ninform your supervisor/ employer to submit an incident report \\nto MOM. \\nIf your employer does not submit an incident report when you', '30\\nSEEKING MEDICAL TREATMENT\\nInform your employer when you are sick and that you need to see a doctor.\\nYou can see a doctor at:\\nYour employer must allow you to see a doctor and he is responsible for paying your \\nmedical bills. Please remember to obtain a medical certificate and a receipt for payment \\nfrom the medical clinic to give to your employer. You should take a photo of the medical \\ncertificate and receipt for your own records.'}""]",0.0,0.9203613664964849,0.0,0.21428571428571427,1.0,0.9136968275605035,0.4159242068901259
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ","You can access support and help from the following places:

1. HealthHub: They provide helplines and psychological aid. You can find more information on their website at [insert website link].

2. Institute of Mental Health (IMH): They have a 24-hour hotline for mental health crises. You can reach them at 6389 2222.

3. Samaritans of Singapore (SOS): They have a 24-hour hotline for suicide prevention. You can contact them at 1800 221 4444.

4. Singapore Counselling Centre: They offer corporate grief counselling. You can find more information on their website at [insert website link].

Remember to avoid sharing personal or financial information with unknown sources to prevent scams. Stay safe! Thanks for Asking!
","[""{'This section of the guide contains contact details of authorities and agencies which \\nyou may access or reach out to, to better prepare your employees pre-crisis and \\nsupport your employees post-crisis.\\nPre-Crisis Support', 'Resource Guide\\nBrought to you by:', '72\\nProvide Psychological First Aid and Support\\nHealthHub\\nHelplines and Psychological Aid: \\x03ZZZ\\x11KHDOWKKXE\\x11VJ\\x12D\\x10]\\x12VXSSRUW\\x10JURXSV\\x10DQG\\x10\\nothers/20/call-on-these-when-you-need-help\\nInstitute of Mental Health (IMH)\\n24 Hour Hotline for Mental Health Crises: 6389 2222\\nSamaritans of Singapore (SOS)\\n24 Hour Hotline for Suicide Prevention: 1800 221 4444\\nSingapore Counselling Centre\\nCorporate Grief Counselling: www.scc.sg/e/corporate-grief-counselling', 'feeling down or having problems at home, speak to someone. If you do not know who \\nto turn to, help is available when you call the telephone numbers above. Remember \\nthat there’s always someone available to resolve your problems.'}""]",1.0,0.9549453839627878,0.9999999999,1.0,0.0,0.9032955829588832,0.2258238957397208
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ","If you need access to legal services, you can seek assistance from the Legal Aid Bureau (LAB) in Singapore. The LAB provides free legal advice and representation to individuals who meet their eligibility criteria. They can help you with various legal matters, including employment rights, documentation requirements, dispute resolution, and local laws affecting workers' rights. You can contact the LAB at +65 1800 2255 529 or visit their website at www.lab.gov.sg for more information. Thanks for Asking!","[""{'Resource Guide\\nBrought to you by:', 'WHERE CAN I SEEK SUPPORT?\\nIf you require emotional support during the investigation and/or court process, infor m\\nyour IO who will arrange for you to speak to a Victim Care Officer (VCO).  \\nVCOs are volunteers who are trained in providing emotional and practical support to\\nvictims of crime as they undergo the criminal justice process.  Support from Victim Care Officer\\nShould you require further support in the community, here are some possible avenues you\\nmay consider:Community Support', 'have the right to withdraw your WICA claim with MOM, and instead engage a lawyer \\nto make a common law claim. However, please keep in mind that common law claims \\noften take longer to resolve, and you will need to prove in court that the injury was \\ncaused by your employer’s negligence. We have received reports that some people \\nmislead workers into withdrawing their WICA claims, to earn commission from lawyers.', '6438 5122 immediately.\\n• If your employer sends you to the airport and forces you to leave Singapore, you \\ncan seek assistance from the officers at the airport immigration counters.\\nYou do not need a lawyer to help you with your \\nWICA claim. The compensation amount is based on \\na fixed formula. More than 75% of WICA claims are \\nsettled within eight months from the accident date.DID YOU \\nKNOW?'}""]",0.0,0.9008384551011298,0.9999999999,0.0,1.0,0.8847717743689271,0.22119294359223177
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ","If your employer deducted your salary without any valid reason or without your consent, you should first try to communicate with your employer and clarify the situation. If the issue cannot be resolved through communication, you can approach the Ministry of Manpower (MOM) to raise a complaint about the wage deduction. MOM will investigate the matter and take appropriate action to ensure that your rights are protected. Remember to keep records of your payslips and any communication with your employer regarding the deduction. Thanks for Asking!","[""{'You gave written consent \\nto the deduction \\n(you can withdraw your \\nconsent any time before \\nthe deduction is made).\\n•   If a salary deduction is made, your employer cannot deduct more than 50% of \\n     your total salary in any single salary period. This does not include deductions\\n     made for:\\n-   Your absence from work.\\n-   Recovering advances, loans or over-payment of your salary.\\n-   Paying any co-operative society for which you had given your written consent.', '14\\n(b)   Salary Deductions\\n•  Your employer cannot make deductions from your salary. They can only do so if:\\nYou were absent from \\nwork without your \\nemployer’s consent.Your employer has \\npaid for meals that you \\nrequested for.\\nGoods or money \\nentrusted to you was \\nlost or damaged (one-off \\ndeduction only).Your employer has paid for \\nhousing/accommodation, \\namenities and services \\nthat you accepted.\\nYou gave written consent \\nto the deduction \\n(you can withdraw your \\nconsent any time before', 'salary, allowances, deductions, overtime hours worked \\nand overtime pay.4\\n6\\n75Your salary can only be changed if you agree and your \\nemployer does the following: \\nSeek your consent in writing. \\nNotify MOM. \\nIssue you an itemised pay slip with the adjusted salary.\\nYou should keep records of itemised pay slips and \\ntime sheets.\\nDo not sign any blank documents or documents that \\nyou do not understand or do not agree with. You should \\napproach MOM if your employer asks you to sign any', 'with your employer. Your employer must pay your salary \\nvia direct transfer into your bank account if you request \\nthem to do so. 1\\n2\\n3'}""]",1.0,0.9479288489734428,0.9999999999,0.5882352941176471,0.8333333333333334,0.8919917496479831,0.22299793741199578
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,"No, you are not allowed to work in another occupation even if instructed by your employer. It is important to follow the terms and conditions stated in your work permit and only engage in the job specified. This ensures that you are protected by the relevant employment laws and regulations. Thanks for asking!","[""{'14\\n(b)   Salary Deductions\\n•  Your employer cannot make deductions from your salary. They can only do so if:\\nYou were absent from \\nwork without your \\nemployer’s consent.Your employer has \\npaid for meals that you \\nrequested for.\\nGoods or money \\nentrusted to you was \\nlost or damaged (one-off \\ndeduction only).Your employer has paid for \\nhousing/accommodation, \\namenities and services \\nthat you accepted.\\nYou gave written consent \\nto the deduction \\n(you can withdraw your \\nconsent any time before', 'investigations, attending court proceedings, or settling salary o r work injury claims.  \\nQ19 [Only for Work Permit holders]  How can I check my  salary details ?', 'salary, allowances, deductions, overtime hours worked \\nand overtime pay.4\\n6\\n75Your salary can only be changed if you agree and your \\nemployer does the following: \\nSeek your consent in writing. \\nNotify MOM. \\nIssue you an itemised pay slip with the adjusted salary.\\nYou should keep records of itemised pay slips and \\ntime sheets.\\nDo not sign any blank documents or documents that \\nyou do not understand or do not agree with. You should \\napproach MOM if your employer asks you to sign any', '- You are not allowed to work in another occupation even if instructed by  \\nyour employer. \\n• You cannot take part in any other business or start your own business to earn  \\nextra money.\\n• You must carry your original work permit card at all times and produce it for  \\ninspection by any public officer.'}""]",1.0,0.9337975503511963,0.9999999999,0.14285714285714285,1.0,0.9388509088975452,0.4222127272243863
