question,ground_truth,answer,contexts
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,"A good place to send money home safely is through authorised remittance kiosks located in dormitories or at a recreation centre. It is important to avoid unlicensed remittance agents such as hawala or hundi brokers, as they may run away with your money. Additionally, you can also use licensed online remittance services and mobile apps. However, it is crucial to never send money home through WhatsApp or any instant messaging platforms. To ensure the remittance company is licensed, you can search their name on the Monetary Authority of Singapore's website at https://eservices.mas.gov.sg/fid. Thanks for asking!
",{'Remit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre \nUnlicensed remittance agents such as hawala or hundi brokers may run away with \nyour money. \n•    Online Remittance Websites and Mobile Apps\n    Use only licensed online remittance services and mobile apps. Never send \nmoney home through WhatsApp or any instant messaging platforms. Check \nif the remittance company is licensed by searching their name on Monetary \nAuthority of Singapore’s website at https://eservices.mas.gov.sg/fid.'}
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ","If you cannot remit money back home, you can seek help from your employer or contact the Migrant Workers' Centre (MWC) at 6536 2692 for advice. They can provide guidance and assistance in such situations. Thanks for asking!
","{'39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist \nyou. Your employer must show you proof of the successful remittance transaction. \n It is not safe to carry large amounts of cash in crowded public places.', '39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist \nyou. Your employer must show you proof of the successful remittance transaction. \n It is not safe to carry large amounts of cash in crowded public places. \n Do not engage unlicensed remittance agents such as hawala or hundi brokers as \nthey may run away with your money. \n It is illegal to operate an unlicensed remittance business, or to be involved with \none. If caught doing so, you will be fined up to $100,000 or jailed for up to 2 \nyears, or both. Your work permit will be revoked. \nUnlicensed Moneylenders \nDo not borrow from unlicensed moneylenders and do not act as runners or brokers for \nmoneylenders. Do not help any moneylender to give loans to your friends in return for'}"
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services","You can go to the MOM Medical Centre that you are enrolled with. You can find the MOM Medical Centre on your FWMOMCare App under ""Find a Doctor"". Please click on ""Find a Doctor"" to book an appointment to see the doctor. Once your appointment is confirmed, you may receive an SMS with the date, time, location of the MOM Medical Centre you should go to, and the pick-up time and location. Thanks for asking!
","{'30\nSEEKING MEDICAL TREATMENT\nInform your employer when you are sick and that you need to see a doctor.\nYou can see a doctor at:\nYour employer must allow you to see a doctor and he is responsible for paying your \nmedical bills. Please remember to obtain a medical certificate and a receipt for payment \nfrom the medical clinic to give to your employer. You should take a photo of the medical \ncertificate and receipt for your own records.', 'your Anchor Operator.  \n \n4.2. Which doctor should I go to when I feel sick?  \n• You can find the MOM Medical Centre that you are enrolled with on your \nFWMOMCare App under “Find a Doctor”.  \n \n• Please click o n “Find a Doctor” to book an appointment to see the doctor. Once \nyour appointment is confirmed, you may receive an SMS to tell you the date, time, \nlocation of the MOM Medical Centre you should go to and the pick -up time and'}"
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer","To make claims for your workplace injury treatment, you should follow these steps:

1. Keep records of all your correspondence with your supervisor/employer regarding the work accident details. This includes WhatsApp and SMS messages.

2. Ask a friend to take photos of the place where you were injured, as well as the tools or machinery that caused your injury. These photos will be helpful when discussing your case with the doctor.

3. Attend all scheduled medical appointments and do not visit other doctors instead. The treating doctor is in the best position to assess your injury and aid your recovery. Failure to attend scheduled medical appointments may result in the suspension of your work injury compensation claim.

4. Keep copies of all relevant documents related to your injuries, such as medical certificates and medical bills. Hand over the originals to your employer.

5. The insurer or MOM (Ministry of Manpower) will calculate the compensation amount and issue a notice to you and your employer. If there is no objection to the amount, your employer/insurer must pay you within 21 days of the notice service date.

Remember to follow these steps to ensure a smooth process for your workplace injury treatment claims. Thanks for asking!
","{'4\n5\n6\n7Keep records of your correspondence (e.g. your WhatsApp and SMS \nmessages, etc.) with your supervisor/employer on the work accident details. \nAsk a friend to take photos of the place that you were injured, and the tools \nor machinery that caused your injury. Show the photos to the doctor. \nIf you are scheduled for a medical appointment, please attend the \nappointment and do not instead go to other doctors. The treating doctor is \nin the best position to assess your injury and aid your recovery. Failure to \nattend scheduled medical appointments will result in the suspension of \nyour work injury compensation claim. \nKeep a copy of the documents relevant to your injuries (e.g. medical \ncertificates, medical bills) and hand the originals to your employer. \nThe insurer or MOM will calculate the compensation amount and issue a \nnotice to you and your employer. If there is no objection to the amount, your \nemployer/insurer must pay you within 21 days of the notice service date.'}"
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit","To renew your work permit, you can log on to the MOM website at www.mom.gov.sg/check-wp and follow these steps:
1) Select: Enquire.
2) Select: Work Permit Validity / Application Status.
3) Enter your work pass number and your name, then click Next.
Once you have completed these steps, you will be able to check the status of your work permit and proceed with the renewal process. Thanks for asking!
","{'21\nb)   MOM Website\nYou can log on to the MOM website at www.mom.gov.sg/check-wp and follow the \nsteps below.\n1)   Select: Enquire. \n2)   Select: Work Permit Validity / Application Status. \n3)   Enter your work pass number and your name, then click Next .\n (2)   Employment\n• You must work only in the occupation and for the employer specified on your work  \npermit card.\n- You are not allowed to work in another occupation even if instructed by  \nyour employer. \n• You cannot take part in any other business or start your own business to earn  \nextra money.\n• You must carry your original work permit card at all times and produce it for  \ninspection by any public officer.'}"
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,"Yes, as an employee, you will be covered by work injury compensation insurance provided by your employer. This insurance is mandatory in Singapore and ensures that you are protected in case of any work-related injuries or accidents. The insurance policy should cover the benefits under the Work Injury Compensation Act (WICA), including medical leave wages, medical expenses, and lump sum payments for permanent incapacity and death. It is important to check the coverage of employees and the validity of the policy. The employer's insurer will be liable to pay when there are multiple insurance policies. Work-related exclusion clauses, except pertaining to asbestos, are disallowed. Thanks for asking!
","{'Your employees must be \ncovered under work injury \ncompensation insurance\nWork-related \nexclusion  clauses \nare disallowedCheck the coverage of employees and validity \nof the policy\nEmployer’s insurer liable to \npay when there are multiple insurance policies• Policies should cover the benefits \nunder WICA.\n• Includes medical leave wages, medical \nexpenses, and lump sum payments for \npermanent incapacity and death.\n• Work-related exclusion clauses, \nexcept pertaining to asbestos, are \ndisallowed.'}"
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ","Some places you can access support and help include HealthHub, Institute of Mental Health (IMH), Samaritans of Singapore (SOS), and HealthServe. You can also reach out to embassies or high commissions for assistance. Thanks for asking!

","{'- Matters relating to employment or when \n  you require assistance\nSOS (Samaritans of Singapore)\n- Help for personal issues, counselling for  \n  depression, etc.\nHealthServe\n- Help on medical care, counselling, social assistance. \nEmbassies / High Commissions', 'This section of the guide contains contact details of authorities and agencies which \nyou may access or reach out to, to better prepare your employees pre-crisis and \nsupport your employees post-crisis.\nPre-Crisis Support', 'feeling down or having problems at home, speak to someone. If you do not know who \nto turn to, help is available when you call the telephone numbers above. Remember \nthat there’s always someone available to resolve your problems.', '72\nProvide Psychological First Aid and Support\nHealthHub\nHelplines and Psychological Aid: \x03ZZZ\x11KHDOWKKXE\x11VJ\x12D\x10]\x12VXSSRUW\x10JURXSV\x10DQG\x10\nothers/20/call-on-these-when-you-need-help\nInstitute of Mental Health (IMH)\n24 Hour Hotline for Mental Health Crises: 6389 2222\nSamaritans of Singapore (SOS)'}"
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ","If you need access to legal services, you can contact the Migrant Workers' Centre (MWC) at 6536 2692 for advice. Additionally, if you need assistance with your work injury compensation claim, you can call 6438 5122 or approach MOM at 1500 Bendemeer Road, Singapore 339946. Thanks for asking!","{'mislead workers into withdrawing their WICA claims, to earn commission from lawyers. \nAs such, please consider your options carefully.If you need assistance in your work injury compensation claim, you can call  6438 5122 , \nor approach MOM  at 1500 Bendemeer Road, Singapore 339946.', '• While the claim is being processed, you should remain with your employer, as he is \nrequired to continue to provide you with food and housing. If your employer forces \nyou to return to your home country and does not report the accident, call MOM at \n6438 5122 immediately.', 'will not be able to return to Singapore to work.\nWICA vs Common Law\nMost workers who are injured receive fair and timely compensation under WICA. You \nhave the right to withdraw your WICA claim with MOM, and instead engage a lawyer', '39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist'}"
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ","If your employer has deducted your salary without any valid reason or without your consent, you should first try to communicate with your employer and clarify the situation. If the issue cannot be resolved through communication, you can consider raising a complaint with the Ministry of Manpower (MOM) in Singapore. MOM has a dedicated platform for salary-related disputes called the Employment Claims Tribunal (ECT). You can file a claim with ECT to seek resolution and assistance in recovering your deducted salary. Remember to gather any evidence or documentation that supports your claim. Thanks for asking!
","{'You gave written consent \nto the deduction \n(you can withdraw your \nconsent any time before \nthe deduction is made).\n•   If a salary deduction is made, your employer cannot deduct more than 50% of \n     your total salary in any single salary period. This does not include deductions\n     made for:', 'with your employer. Your employer must pay your salary \nvia direct transfer into your bank account if you request \nthem to do so. 1\n2\n3', 'requested for.\nGoods or money \nentrusted to you was \nlost or damaged (one-off \ndeduction only).Your employer has paid for \nhousing/accommodation, \namenities and services \nthat you accepted.\nYou gave written consent \nto the deduction \n(you can withdraw your \nconsent any time before', '14\n(b)   Salary Deductions\n•  Your employer cannot make deductions from your salary. They can only do so if:\nYou were absent from \nwork without your \nemployer’s consent.Your employer has \npaid for meals that you \nrequested for.\nGoods or money \nentrusted to you was \nlost or damaged (one-off'}"
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,"No, you are not allowed to work in another occupation even if instructed by your employer. You must work only in the occupation and for the employer specified on your work permit card. Thanks for asking!
","{'and overtime pay.4\n6\n75Your salary can only be changed if you agree and your \nemployer does the following: \nSeek your consent in writing. \nNotify MOM. \nIssue you an itemised pay slip with the adjusted salary.\nYou should keep records of itemised pay slips and \ntime sheets.', '3)   Enter your work pass number and your name, then click Next .\n (2)   Employment\n• You must work only in the occupation and for the employer specified on your work  \npermit card.\n- You are not allowed to work in another occupation even if instructed by  \nyour employer.', 'with your employer. Your employer must pay your salary \nvia direct transfer into your bank account if you request \nthem to do so. 1\n2\n3', '14\n(b)   Salary Deductions\n•  Your employer cannot make deductions from your salary. They can only do so if:\nYou were absent from \nwork without your \nemployer’s consent.Your employer has \npaid for meals that you \nrequested for.\nGoods or money \nentrusted to you was \nlost or damaged (one-off'}"
