question,ground_truth,answer
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,"Some good places for migrant workers to send money back home are [list of countries and remittance services returned by the tool]. You may want to consider the fees, exchange rates, and speed of transfer when choosing a service."
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ",
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services",
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer",
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit",
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ",
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ",
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ",
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,
"My employer paid me lesser than expected, when I asked him, he said it was used to pay for my meals. What should I do?",you can report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. Your employer should not be allowed to deduct your salary as per stated in the IPA letter without your consent,
"What should I do if I have been involved in a scam?
",You may visit this link for assistance if you believe you may have been involved in a scam: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams,
What are the penalties if I have borrowed money from unlicensed moneylenders?,"""If you have been found to have borrowed money from unlicensed moneylenders, your work permit could be revoked and therefore you will be unable to work in Singapore. The following links contain other relevant legal information regarding the penalties for borrowing money from unlicensed moneylenders: 
https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-11-police-advisory-on-unlicensed-moneylending-borrowers.pdf 

https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-20-3-things-to-tell-your-fdw-about-borrowing-singapore.pdf""",
What should I do if I receive a call or text message from an unfamiliar phone number who says they are from government agencies such as MOM or the police?,"Should you receive such a call, it is likely to be a phishing scam whereby someone pretends to be someone they are not in order to access sensitive information such as your bank account details. Do not click on links in unsolicited text messages and emails. If you need to access your bank account, use the official app or type in your bank's web address into your web browser to ensure that you are navigating to the official website. You may visit the following link for more information on how to protect yourself in these situations: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams",
How can I keep updated with the latest rules and regulations in Singapore?,You may visit official websites such as www.gov.sg and www.mom.gov.sg for the latest updates to the rules and regulations in Singapore. Alternatively you may access the myMOM portal for regular updates as well.,
Where can I go for help if I have financial difficulties?,"You may visit the following channels if you are facing financial difficulties. 
Credit Counselling Singapore: 6225-5227 (www.ccs.org.sg) 
National Council on Problem Gambling: 1800-6-668-668 (www.ncpg.org.sg) 
ComCare: 1800-222-0000 (www.msf.gov.sg/comcare)",
What happens if I am caught littering?,"If you are caught littering, you will be fined $300 for the first offence and $600 per offence thereafter",
Are there restrictions on drinking alcohol outside?,"You may buy and drink alcohol outside anytime except for the hours between 10:30pm to 7am daily. You may visit this link for more information on the matter: https://www.mha.gov.sg/docs/default-source/media-room-doc/annexestothepressreleaseonfirstreadingofliquorcontrolsupplyandconsumptionbill.pdf?sfvrsn=d9df36e2_0#:~:text=Under%20the%20new%20Bill%2C%20the,of%20liquor%20in%20public%20places.

https://www.3mk.sg/blogs/three-musketeers-liquor-blog/drinking-laws-in-singapore-2023",
How to help my friend who got scammed?,You may visit the Ant-Scam Resource Guide for information or access scamshield on how to get help for people who have been scammed,
How can I go around Singapore by myself?,You may use the ez-link card to take bus or the train (MRT). These can be purchased from convenience stores like 7-11 or the MRT stations and you can top up your card using the machines at the MRT stations. For more information you may refer to this link: https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf,
