question,ground_truth,answer,answer_similarity,answer_correctness
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,"Some good places for migrant workers to send money back home are [list of countries and remittance services returned by the tool]. You may want to consider the fees, exchange rates, and speed of transfer when choosing a service.",0.8557753047979515,0.21394382619948787
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ","Organizations that may help you if you cannot remit money back home include migrant worker support organizations, embassies, and non-governmental organizations (NGOs) focusing on migration issues. It would be best to research or contact these organizations directly for specific assistance.",0.8771884048650467,0.2192835723253148
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services","To find a doctor if you are sick, I recommend using a general purpose search engine like Google or Bing. You can enter your location and keywords such as ""doctor"" or ""clinic"" in the search bar for relevant results.",0.8136143522925692,0.2034035880731423
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer","To claim for workplace injury treatment as a migrant worker, you should first report the incident to your employer and provide them with necessary details about the accident. Then, seek medical attention immediately. After receiving treatment, gather all relevant documents such as medical reports, witness statements, and any other evidence supporting your claim. These documents will be crucial in making a claim for your workplace injury treatment. It is also recommended that you consult with an experienced labor attorney or legal aid service to guide you through the process of filing a workers' compensation claim. Some organizations provide free or reduced-cost legal services for low-income migrant workers, so be sure to research these options in your area. Keep in mind that each country has its own specific laws and regulations regarding workplace injuries, so it is essential to familiarize yourself with the local labor laws and requirements in your jurisdiction.",0.8831728827198658,0.649364649251395
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit","The process for renewing a work permit varies depending on the country and the type of work permit. Generally, you will need to complete an application form, provide necessary documents such as your passport, previous work permits, and possibly other supporting documents. You may also be required to attend an interview or provide biometric data. It is best to check with the immigration authorities in the country where you are working for the specific requirements.",0.8716340797137592,0.2179085199284398
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,"The answer depends on the specific policies of your employer. Some employers do provide insurance coverage for their migrant workers, while others may not. It is recommended that you check with your employer's HR department to confirm their policy regarding insurance coverage for migrant workers.",0.8725622932550682,0.21814057331376704
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ","Based on the parsed PDF document, here are some places you can find support and help for migrant workers: [list of places with their names]. Please consult the original document or the official websites for details regarding their services, eligibility criteria, and application procedures.",0.8288443586366543,0.20721108965916357
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ",[The response from the tool (In the same language as the user's question)],0.7139643828551524,0.1784910957137881
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ","As a migrant worker, if your employer deducts your salary without your consent or without a valid reason stated in the employment contract, you should seek advice from a labor rights organization or a legal advisor to understand your options and potential recourse.",0.8726138279011468,0.2181534569752867
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,NIL,0.7324350762437849,0.18310876906094622
"My employer paid me lesser than expected, when I asked him, he said it was used to pay for my meals. What should I do?",you can report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. Your employer should not be allowed to deduct your salary as per stated in the IPA letter without your consent,"As a migrant worker, you have the right to receive your salary via direct transfer into your personal bank account. Your employer must pay you at least once a month and within 7 days after the end of the salary period. Any overtime pay should also be paid within 14 days after the end of the salary period. In terms of meal expenses, if your employer claims to have deducted money for meals, they can only do so if they have actually paid for meals that you requested. However, this should not exceed more than 50% of your total salary in any single salary period. If your employer has made unauthorized deductions or you believe there is a payment discrepancy, report the issue to MOM or the Tripartite Alliance for Dispute Management (TADM) as soon as possible.",0.8446562417734145,0.36116406044335364
"What should I do if I have been involved in a scam?
",You may visit this link for assistance if you believe you may have been involved in a scam: https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/publications-and-resources/staying-safe-from-scams,"After being involved in a scam, it is important to report the incident to the appropriate authorities and take steps to protect your personal information. Here are some general next steps you might consider:
   1. Contact your bank or financial institution immediately if money was lost through the scam.
   2. Report the scam to your local police department or the federal law enforcement agency in your country (such as the FBI in the United States).
   3. If the scam involved online activities, report it to the website or platform where the scam occurred. For example, if the scam took place on a social media platform, you can often report it through the platform's reporting system.
   4. Change your passwords for any accounts that may have been compromised in the scam.
   5. Monitor your credit reports for any fraudulent activity and consider placing a fraud alert on your files.
   6. Consider getting help from an attorney or financial advisor if the scam was particularly complex or costly.",0.7957708914479871,0.4716699955892695
What are the penalties if I have borrowed money from unlicensed moneylenders?,"""If you have been found to have borrowed money from unlicensed moneylenders, your work permit could be revoked and therefore you will be unable to work in Singapore. The following links contain other relevant legal information regarding the penalties for borrowing money from unlicensed moneylenders: 
https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-11-police-advisory-on-unlicensed-moneylending-borrowers.pdf 

https://www.mom.gov.sg/-/media/mom/documents/publications/infocus-monthly-edm/edm-20-3-things-to-tell-your-fdw-about-borrowing-singapore.pdf""","The penalties for borrowing money from unlicensed moneylenders can be severe. They may include fines, imprisonment, and criminal charges. In some cases, unpaid debts can also lead to legal action such as wage garnishment or property seizure.",0.8894739452873243,0.47236848632183104
