question,ground_truth,answer,answer_similarity,answer_correctness
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,"It is recommended to use authorized remittance kiosks located in dormitories or at a recreation centre for sending money home safely. Online remittance websites and mobile apps from licensed online remittance services can also be used, but never send money home through WhatsApp or any instant messaging platforms. Always check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid. It is not safe to engage unlicensed remittance agents such as hawala or hundi brokers, as they may run away with your money. If you are unable to send money home on your own, you can ask your employer for assistance.",0.9794692265361611,0.49486730663404027
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. "," If you are unable to remit money home on your own, you have a few options. Firstly, you can ask your employer for assistance. However, your employer must show you proof of the successful remittance transaction. Secondly, if you face financial difficulties, you can approach the Migrant Workers’ Centre (MWC) at 6536 2692 for advice. They may be able to help you find a solution or provide assistance with remitting money home. Lastly, you could discuss your situation with friends or family members who might be able to help or offer guidance. It is important not to resort to unlicensed remittance agents or moneylenders as they may run away with your money and there are penalties for engaging in such activities.",0.9123561051133771,0.500816299005617
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services","If you are a worker in Singapore, you should visit a Singapore-registered doctor or dentist for medical treatment related to your injury or illness. This is because under WICA (Work Injury Compensation Act), only medical expenses incurred from a Singapore-registered healthcare professional are compensated. However, if you do not have a preferred doctor, you can seek assistance from MOM or call 6438 5122 for help in finding one.",0.8207057946520112,0.2051764486630028
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer","To make a claim for your workplace injury treatment, follow these steps:

1. Inform the Management and Occupational Safety & Health (MOM) about the accident by calling 64385122 or visiting MOM Services Centre at 1500 Bendemeer Road, Singapore 339946. You only need to provide your contact details, the name of your employer and the date of the accident.

2. Remain with your employer as they are required to continue providing you with food and housing while the claim is being processed. If your employer forces you to return to your home country and does not report the accident, call MOM immediately.

3. In case your employer sends you to the airport and forces you to leave Singapore, seek assistance from the officers at the airport immigration counters.

4. Visit a Singapore-registered doctor or dentist for your medical treatment. You can claim compensation for medical expenses under the Work Injury Compensation Act (WICA).

5. Keep records of your correspondence with your supervisor/employer on the work accident details, including any photos taken of the place where you were injured and the tools or machinery that caused your injury. Show these photos to the doctor.

6. Attend all scheduled medical appointments related to your injuries. Failure to do so may result in the suspension of your work injury compensation claim.

7. Keep copies of relevant documents such as medical certificates and medical bills, but hand the originals to your employer. The insurer or MOM will calculate the compensation amount and issue a notice to you and your employer. If there are no objections to the amount, your employer/insurer must pay you within 21 days of the notice service date.

8. You do not need a lawyer to help you with your WICA claim as the compensation amount is based on a fixed formula. More than 75% of WICA claims are settled within eight months from the accident date.",0.8902129547106772,0.2225532386776693
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit"," To renew your work permit, you don't need to take any specific actions as mentioned in the provided context. However, if your employer intends to renew your work permit, they are responsible for paying the renewal fees and not asking you to pay or deduct money from your salary for the renewal costs. If there are any issues with the renewal process, it is recommended that you contact MOM (Ministry of Manpower) directly at 6438 5122 or approach their Services Centre at 1500 Bendemeer Road, Singapore 339946 for assistance.",0.8825274704140404,0.2206318676035101
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,"Based on the provided context, there is no explicit mention of whether an employee in Singapore is automatically covered by insurance by their employer. However, employers are responsible for ensuring that employees have medical insurance and are required to pay for any renewal fees associated with it. If you find yourself without medical coverage, you may want to reach out to your employer or MOM Services Centre for assistance. It's essential to review the specific terms of your employment contract regarding health and safety benefits to ensure you understand what is provided.",0.9081513762074607,0.22703784405186517
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ","1. Police - Dial 999 for emergencies.
2. Fire / Ambulance Service - Dial 995 for emergencies.
3. Ministry of Manpower - Call at 6438 5122 for assistance.
4. Workplace Safety and Health Council - Call at 6317 1111 for help.
5. Migrant Workers’ Centre - Contact at 6536 2692 or visit their website (www.mlcb.com.sg) if you need any assistance.
6. Samaritans of Singapore (SOS) - Dial 1800 2214 444 for a 24-hour helpline.
7. HealthServe - Contact them at 3138 4443 or their 24-hour helpline.
8. If you are facing employment issues, contact MOM at 6438 5122 for assistance.
9. Approach TADM if you have salary issues. Their location is at MOM Services Centre Level 3, 1500 Bendemeer Road, Singapore 339946.
10. If your employer attempts to send you home forcibly without settling any of your salary, claims or cases, you should approach the officers at the airport immigration counters for assistance. MOM will help you.",0.9321465526688374,0.23303663816720935
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ","If you need access to legal services, you can contact the Ministry of Law or visit their website for assistance. Alternatively, you may also consider seeking help from legal aid organizations such as the Legal Aid Bureau or the Community Justice Centre, which offer free or subsidized legal advice and representation to eligible individuals.",0.8618786108568668,0.21546490143489225
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ","If your employer makes deductions from your salary, check with your employer what the deduction is for. If the deduction is for any of the costs listed in the provided context (work pass renewal, security bond, medical insurance, repatriation costs, compulsory training, medical fees, or levy payment), report to MOM immediately by calling 6438 5122, or approach MOM Services Centre at 1500 Bendemeer Road, Singapore 339946. If you are unsure about the reason for the deduction, it may be beneficial to discuss this with your employer to clarify the situation.",0.8790954846156301,0.21978034779285605
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,"According to the provided context, you are only allowed to work in the occupation and for the employer specified on your work permit card. You are not allowed to work in another occupation even if instructed by your employer.",0.9825255795283818,0.6206313948820954
