question,contexts,answer,ground_truth,
Good place to send money home?,{'Remit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre \nUnlicensed remittance agents such as hawala or hundi brokers may run away with \nyour money. \n•    Online Remittance Websites and Mobile Apps\n    Use only licensed online remittance services and mobile apps. Never send \nmoney home through WhatsApp or any instant messaging platforms. Check \nif the remittance company is licensed by searching their name on Monetary \nAuthority of Singapore’s website at https://eservices.mas.gov.sg/fid.'},"A good place to send money home safely is through authorised remittance kiosks located in dormitories or at a recreation centre. It is important to avoid unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. Additionally, you can also use licensed online remittance services and mobile apps. However, it is crucial to never send money home through WhatsApp or any instant messaging platforms. To ensure the remittance company is licensed, you can search their name on the Monetary Authority of Singapore's website at https://eservices.mas.gov.sg/fid. Thanks for asking!",Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid., Legal-and-Financial Matters.pdf - Page 39
Who can help me if I cannot remit money back home? ,"{'39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist \nyou. Your employer must show you proof of the successful remittance transaction. \n It is not safe to carry large amounts of cash in crowded public places. \n Do not engage unlicensed remittance agents such as hawala or hundi brokers as \nthey may run away with your money. \n It is illegal to operate an unlicensed remittance business, or to be involved with \none. If caught doing so, you will be fined up to $100,000 or jailed for up to 2 \nyears, or both. Your work permit will be revoked. \nUnlicensed Moneylenders \nDo not borrow from unlicensed moneylenders and do not act as runners or brokers for \nmoneylenders. Do not help any moneylender to give loans to your friends in return for', '39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist \nyou. Your employer must show you proof of the successful remittance transaction. \n It is not safe to carry large amounts of cash in crowded public places.'}","If you cannot remit money back home, you can seek assistance from your employer or contact the Migrant Workers' Centre (MWC) at 6536 2692 for advice. They can provide guidance on what can be done in such situations. Thanks for asking!","If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ","1. Legal-and-Financial Matters.pdf - Page 40
2. mw-handy-guide-english.pdf - Page 40"
"If I am sick, what doctor can I go to?","{'your Anchor Operator.  \n \n4.2. Which doctor should I go to when I feel sick?  \n• You can find the MOM Medical Centre that you are enrolled with on your \nFWMOMCare App under “Find a Doctor”.  \n \n• Please click o n “Find a Doctor” to book an appointment to see the doctor. Once \nyour appointment is confirmed, you may receive an SMS to tell you the date, time, \nlocation of the MOM Medical Centre you should go to and the pick -up time and', '30\nSEEKING MEDICAL TREATMENT\nInform your employer when you are sick and that you need to see a doctor.\nYou can see a doctor at:\nYour employer must allow you to see a doctor and he is responsible for paying your \nmedical bills. Please remember to obtain a medical certificate and a receipt for payment \nfrom the medical clinic to give to your employer. You should take a photo of the medical \ncertificate and receipt for your own records.'}","You can go to the MOM Medical Centre that you are enrolled with. You can find the MOM Medical Centre on your FWMOMCare App under ""Find a Doctor"". Please click on ""Find a Doctor"" to book an appointment to see the doctor. Once your appointment is confirmed, you may receive an SMS with the date, time, location of the MOM Medical Centre you should go to, and the pick-up time and location. Thanks for asking!",You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP,"1. mw-handy-guide-english.pdf - Page 17
2. Working-in-Singapore.pdf - Page 17
3. Health-and-Safety.pdf - Page 17
4. pcpfaqs.pdf - Page 17"
How to make claims for my workplace injury treatment?,"{'4\n5\n6\n7Keep records of your correspondence (e.g. your WhatsApp and SMS \nmessages, etc.) with your supervisor/employer on the work accident details. \nAsk a friend to take photos of the place that you were injured, and the tools \nor machinery that caused your injury. Show the photos to the doctor. \nIf you are scheduled for a medical appointment, please attend the \nappointment and do not instead go to other doctors. The treating doctor is \nin the best position to assess your injury and aid your recovery. Failure to \nattend scheduled medical appointments will result in the suspension of \nyour work injury compensation claim. \nKeep a copy of the documents relevant to your injuries (e.g. medical \ncertificates, medical bills) and hand the originals to your employer. \nThe insurer or MOM will calculate the compensation amount and issue a \nnotice to you and your employer. If there is no objection to the amount, your \nemployer/insurer must pay you within 21 days of the notice service date.'}","To make claims for your workplace injury treatment, you should follow these steps:

1. Keep records of all your correspondence with your supervisor/employer regarding the work accident details. This includes WhatsApp and SMS messages.

2. Ask a friend to take photos of the place where you were injured, as well as the tools or machinery that caused your injury. These photos will be helpful when discussing your case with the doctor.

3. Attend all scheduled medical appointments and do not visit other doctors instead. The treating doctor is in the best position to assess your injury and aid your recovery. Failure to attend scheduled medical appointments may result in the suspension of your work injury compensation claim.

4. Keep copies of all relevant documents related to your injuries, such as medical certificates and medical bills. Hand over the originals to your employer.

5. The insurer or MOM (Ministry of Manpower) will calculate the compensation amount and issue a notice to you and your employer. If there is no objection to the amount, your employer/insurer must pay you within 21 days of the notice service date.

Remember to follow these steps to ensure a smooth process for your workplace injury treatment claims. Thanks for asking!","For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer","1. mw-handy-guide-english.pdf - Page 17
2. Working-in-Singapore.pdf - Page 17
3. Health-and-Safety.pdf - Page 17"
How do I renew my work permit?,"{'21\nb)   MOM Website\nYou can log on to the MOM website at www.mom.gov.sg/check-wp and follow the \nsteps below.\n1)   Select: Enquire. \n2)   Select: Work Permit Validity / Application Status. \n3)   Enter your work pass number and your name, then click Next .\n (2)   Employment\n• You must work only in the occupation and for the employer specified on your work  \npermit card.\n- You are not allowed to work in another occupation even if instructed by  \nyour employer. \n• You cannot take part in any other business or start your own business to earn  \nextra money.\n• You must carry your original work permit card at all times and produce it for  \ninspection by any public officer.'}","To renew your work permit, you can log on to the MOM website at www.mom.gov.sg/check-wp and follow these steps:
1) Select: Enquire.
2) Select: Work Permit Validity / Application Status.
3) Enter your work pass number and your name, then click Next.
Once you have completed these steps, you will be able to check the status of your work permit and proceed with the renewal process. Thanks for asking!","To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit",Legal-and-Financial Matters.pdf - Page 22
Will I be covered by insurance by my employer?,"{'Your employees must be \ncovered under work injury \ncompensation insurance\nWork-related \nexclusion  clauses \nare disallowedCheck the coverage of employees and validity \nof the policy\nEmployer’s insurer liable to \npay when there are multiple insurance policies• Policies should cover the benefits \nunder WICA.\n• Includes medical leave wages, medical \nexpenses, and lump sum payments for \npermanent incapacity and death.\n• Work-related exclusion clauses, \nexcept pertaining to asbestos, are \ndisallowed.'}","Yes, as an employee, you will be covered by work injury compensation insurance provided by your employer. This insurance is mandatory in Singapore and ensures that you are protected in case of any work-related injuries or accidents. The insurance policy should cover the benefits under the Work Injury Compensation Act (WICA), including medical leave wages, medical expenses, and lump sum payments for permanent incapacity and death. It is important to check the coverage of employees and the validity of the policy. The employer's insurer will be liable to pay when there are multiple insurance policies. Work-related exclusion clauses, except pertaining to asbestos, are disallowed. Thanks for asking!","You will be entitled to medical insurance that is bought by your employer. It is mandatory for you to be covered under work injury compensation insurance. The policies should cover the benefits under WICA which include medical leave wages, medical expenses, and lump sum payments for permanent incapacity and death. The policies should accurately reflect the occupation, salary and the employees who should be covered. The policies must be renewed before expiry. But, work-related exclusion clauses, except pertaining to asbestos, are disallowed. Even if such clauses exist in the policy, insurers are liable to pay compensation in the event of a valid claim. Insurers may be able to recover such compensation from the employer if the policy contains a contractual clause allowing recovery. When multiple contractors have separate insurances that cover an injured employee, the employer’s insurer will be the first to respond in the event of a valid claim. This ensures that the injured employee will receive compensation in a timely manner. Another contractor’s insurer may pay compensation if they inform MOM before it issues the Notice of Assessment, their intent to pay compensation on behalf of the employer’s insurer.",1
How can I report poor living conditions in my dormitory?,"{'• Keep your bed clean to prevent bed bugs.\n• Keep your living environment clean to prevent pests such as cockroaches and rats. \n• Remove stagnant water to prevent mosquito-breeding.\nReporting of Housing Issues to Your Dormitory Operator\nDormWatch app\nA free mobile app for you to report housing issues\nIf you live in a dormitory, the DormWatch app allows you to report on defects, broken \nfacilities or equipment directly to the dormitory operator. MOM will also be kept'}","You can report poor living conditions in your dormitory by using the DormWatch app. It is a free mobile app that allows you to report defects, broken facilities, or equipment directly to the dormitory operator. This way, you can ensure that your concerns are addressed and the necessary actions are taken to improve the living conditions. MOM will also be kept informed about the reported issues. Thanks for asking!","You may report housing issues in your dormitory via DormWatch app. It is a free mobile app that allows you to report on defects, broken facilities or equipment directly to the dormitory operator. MOM will also be kept informed on the progress of the issue and step in and inspect the premises if necessary.",1
How do I register and use the FWMOMCare app?,"{'FWMOMCare App  User Guide\nCONTENT  \nDownload / Privacy Policy / Registration / Login -\nHow to download / Privacy Policy / Registration  / Login\nUpdate Mobile Number – \nLogged In / Logged Out\nVaccination –\nVaccination Record  / Vaccination  Appointment\nFind A Doctor - With *PCP / No *PCP\n*PCP = Primary Care Plan\nOthers – \nBuddy Nomination  / Report Health  /  Scan QR  / SnapSAFE  / \nNotifications  | News  / Banner  / Feedback  / Helplines  /', 'Copyright © 20 20 2FWMOMCare App User’s Guide –\nDownloading of App\nSearch for “FWMOMCare”\nFor Apple User, go to \nApp Store.For Huawei User, go to \nApp Gallery.For Android User, go to \nGoogle Play Store.\nReturn to \nContent Page', 'FWMOMCare App  – Quick Information 2 of 2 \nEXAMPLE'}","To register and use the FWMOMCare app, you can follow these steps:

1. Download the app: Search for ""FWMOMCare"" in the respective app store for your device. For Apple users, go to the App Store. For Huawei users, go to the App Gallery. For Android users, go to the Google Play Store.

2. Privacy Policy: Read and understand the privacy policy of the app before proceeding with the registration process.

3. Registration: Open the app and click on the registration button. Fill in the required information, such as your personal details, contact information, and employment details. Make sure to provide accurate information.

4. Login: Once you have successfully registered, you can log in to the app using your registered email address and password.

5. Update Mobile Number: If you need to update your mobile number, you can do so by accessing the ""Update Mobile Number"" feature in the app. Follow the instructions provided to update your mobile number.

6. Vaccination: The app provides features related to vaccination, such as vaccination records and vaccination appointments. You can access these features to keep track of your vaccination status and appointments.

7. Find A Doctor: The app also allows you to find a doctor. You can search for doctors based on whether they are part of the Primary Care Plan (PCP) or not. PCP refers to the primary healthcare providers available to migrant workers.

8. Other Features: The app includes additional features such as buddy nomination, reporting health issues, scanning QR codes, using SnapSAFE, receiving notifications, accessing news and banners, providing feedback, and accessing helplines.

Remember to explore the app and familiarize yourself with its features to make the most out of it.

Thanks for asking!","To register for FWMOMCare App, 
1. Select language
2. For first time, key in your FIN number and click on ""Register"". If this is NOT your first login, click on ""Login"" and skip to Step 4
3. Key in Mobile Number and click on ""OTP""
4. Key in OTP and click on ""VERIFY"". If you did not receive your OTP, please restart your phone. And ensure that your mobile number in Step 3 is correct.
5. Enable location services and fill in your details",1
How do I report a safety hazard in the workplace?,"{'31\nINJURY FROM WORK\nYour employer is responsible for the safety, health and well-being of all his employees.\nWhat to do if you are injured at work?\nReport your injury to your supervisor/employer and seek \ntreatment quickly. If you receive any hospitalisation\nleave/medical leave or light duty from the doctor/dentist, \ninform your supervisor/ employer to submit an incident report \nto MOM. \nIf your employer does not submit an incident report when you \nare injured at work, please inform MOM. You can inform MOM \nby calling 64385122, or coming down to MOM Services Centre \n(1500 Bendemeer Road, Singapore 339946) to speak to an \nMOM officer. You only need to give MOM your contact details, \nthe name of your employer and the date of the accident. MOM \ncan assist you even if you are unable to speak English. 1\n2\n3\n4\n5\n6\n7Keep records of your correspondence (e.g. your WhatsApp and SMS \nmessages, etc.) with your supervisor/employer on the work accident details.'}","To report a safety hazard in the workplace, you should inform your supervisor or employer immediately. They are responsible for ensuring the safety and well-being of all employees. If your supervisor or employer does not take action to address the hazard, you can also report it to MOM (Ministry of Manpower). You can inform MOM by calling 64385122 or visiting MOM Services Centre at 1500 Bendemeer Road, Singapore 339946. Provide MOM with your contact details, the name of your employer, and details of the safety hazard. MOM can assist you even if you are unable to speak English. Remember to keep records of your correspondence with your supervisor or employer regarding the safety hazard. Thanks for asking!","If you encounter any safety hazards or unsafe practices in your workplace, you may use your FWMOMCare app to report unsafe workplace conditions.",
What should I do if I test positive for COVID-19?,,,"Kindly refer to the link below for information on the safety measures if you have tested positive for COVID-19
https://www.mom.gov.sg/faq/work-permit-for-foreign-worker/as-an-employer-what-are-the-health-and-safety-measures-i-should-implement-for-dormitory-residents",
