question,ground_truth
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. "
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services"
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer"
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit"
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance
How can I report poor living conditions in my dormitory?,"You may download the DormWatch app and use it to report any irregularities you may encounter during your stay. Refer to this for a more detailed explanation on the DormWatch app https://www.mom.gov.sg/-/media/mom/documents/press-releases/2018/0913-annex-a-dormwatch-factsheet.pdf

You may refer to the link below for a guide on how to download the app
https://www.mom.gov.sg/-/media/mom/documents/foreign-manpower/dormwatch/user-guide-dormwatch.pdf"
How do I register and use the FWMOMCare app?,Visit this link for a guide on how to use the FWMOMCare app - https://www.mom.gov.sg/-/media/mom/documents/foreign-manpower/fwmomcare/fwmomcare-user-guide.pdf
How do I report a safety hazard in the workplace?,"If you encounter any safety hazards or unsafe practices in your workplace, you may use your FWMOMCare app to report unsafe workplace conditions."
What should I do if I test positive for COVID-19?,"Kindly refer to the link below for information on the safety measures if you have tested positive for COVID-19
https://www.mom.gov.sg/faq/work-permit-for-foreign-worker/as-an-employer-what-are-the-health-and-safety-measures-i-should-implement-for-dormitory-residents"
