question,ground_truth,answer,contexts
Good place to send money home?,Automated Remittance Kiosk Use authorised remittance kiosks located in dormitories or at a recreation centre Unlicensed remittance agents such as hawala or hundi brokers may run away with your money. Online Remittance Websites and Mobile Apps Use only licensed online remittance services and mobile apps. Never send money home through WhatsApp or any instant messaging platforms. Check if the remittance company is licensed by searching their name on Monetary Authority of Singapore’s website at https://eservices.mas.gov.sg/fid.,"A good place to send money home safely is through authorized remittance kiosks located in dormitories or at a recreation center. It is important to avoid unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. You can also use licensed online remittance services and mobile apps. Remember to never send money home through WhatsApp or any instant messaging platforms. To ensure the remittance company is licensed, you can search their name on the Monetary Authority of Singapore's website at https://eservices. mas. gov. sg/fid. Thanks for asking!.","{'38MONEY MATTERS \nGood Financial Habits\nRemember why you came to Singapore to work. It is to earn money to send home to \nyour family. It is important to manage your money so that you have enough to spend \nand save.\n1.   Learn how to budget  \n    Budgeting means planning what to do with your money. Understand what your \nneeds are, e.g. pay for your family’s healthcare or education expenses, and then \nplan how much to save.  You should put aside money for your necessities.\n2.  Grow your savings\n      Set aside an amount of money monthly, and deposit it into your bank account. Plan \nfor what you can do back home with this money, e.g. build a new home, set up a \nbusiness. \n3.   Cut down on unnecessary spending \n      – Before purchasing an item, ask \n      yourself whether you really need it.\nRemit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre', '41Self-exclusion Framework\nYou can apply for self-exclusion by submitting your application online, so that licensed \nmoneylenders are not allowed to lend you money. This will prevent you from borrowing \nmoney and getting into debts.\nSelf-exclusion is voluntary and is a commitment not to borrow for at least 2 years. \nYou can request your employer or employment agency to apply on your behalf at \nwww.mlcb.com.sg\nDo Not Act as Guarantor\nIf your friend borrows from a licensed moneylender, you are not allowed to act as your \nfriend’s guarantor.If you earn\nLess than $10,000 a year \n$10,000 and above but less than \n$20,000 a yearYou can borrow\nUp to $500\nUp to $3,000', ""Staying safe from scams \nScams can happen to anyone, including Migrant Domestic Workers (MDWs). The \nanti-scam campaign aims to raise MDWs' awareness and knowledge to recognise \nand avoid scams, so that their well-being and hard-earned money are safeguarded. \nAct against scams \nA scam is designed to trick you into giving away your money or personal details by \noƯering an attractive deal or false information.  \nProtect yourself from scams using A.C.T.: \n\uf0b7 Add security features such as downloading the ScamShield \napp https://play.google.com/store/apps/details?id=sg.gov.scamshield&pli=1  \nor ScamShield Bot  https://www.scamshield.gov.sg/  on WhatsApp to block \nscams and report scams \n\uf0b7 Check for scam signs with o Ưicial sources  \n\uf0b7 Tell the authorities and warn your MDW friends \nWatch the video on how to ACT against scams. \nhttps://youtu.be/_2e1GCLl7Cs  \nTypes of scams \nWhat is a phishing scam? \nIf you receive a message from an unknown person asking you to click on an unknown"", ""If your registered address is an overseas address , please \nenter your passport number and click 'Next' .Password Reset (Password PIN Mailer)\n4b"", '\x95 Consider creating an emergency hotline for guests  \n to contact in the event of a crisisΖI\x03 \\RXU\x03 KRWHO\x03 TXDOLȴHV\x03 DV\x03 DQ\x03 60(\x0f\x03 \\RX\x03 PD\\\x03 DOVR\x03  \nbe eligible for enhanced training subsidies for \nSkillsFuture Singapore courses (see page 68)', '26Updating of Address  \nYou must stay at the address indicated by your employer to MOM.  If you look for your \nown accommodation or change your accommodation at any time, you must inform your \nemployer of your latest residential address so that they can inform MOM. Your work \npass will be revoked if you fail to do so.\nPractise Communal Hygiene\nKeep where you live clean and tidy, so that you can remain healthy and not fall sick. \n• Keep your bed clean to prevent bed bugs.\n• Keep your living environment clean to prevent pests such as cockroaches and rats. \n• Remove stagnant water to prevent mosquito-breeding.\nReporting of Housing Issues to Your Dormitory Operator\nDormWatch app\nA free mobile app for you to report housing issues\nIf you live in a dormitory, the DormWatch app allows you to report on defects, broken \nfacilities or equipment directly to the dormitory operator. MOM will also be kept \ninformed on the progress of the issue and step in and inspect the premises if necessary.', 'Guide for Hotels\nA Collective Partnership @WorkplacessgsECURE\nRECEPTION', 'Remit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre \nUnlicensed remittance agents such as hawala or hundi brokers may run away with \nyour money. \n•    Online Remittance Websites and Mobile Apps\n    Use only licensed online remittance services and mobile apps. Never send \nmoney home through WhatsApp or any instant messaging platforms. Check \nif the remittance company is licensed by searching their name on Monetary \nAuthority of Singapore’s website at https://eservices.mas.gov.sg/fid.', 'when your employer submits the incident report to MOM. \n• While the claim is being processed, you should remain with your employer, as he is \nrequired to continue to provide you with food and housing. If your employer forces \nyou to return to your home country and does not report the accident, call MOM at \n6438 5122 immediately.\n• If your employer sends you to the airport and forces you to leave Singapore, you \ncan seek assistance from the officers at the airport immigration counters.\nYou do not need a lawyer to help you with your \nWICA claim. The compensation amount is based on \na fixed formula. More than 75% of WICA claims are \nsettled within eight months from the accident date.DID YOU \nKNOW?', '2'}"
Who can help me if I cannot remit money back home?,"If you are unable to send money home on your own, ask your employer to assist you. Your employer must show you proof of the successful remittance transaction. It is not safe to carry large amounts of cash in crowded public places. Do not engage unlicensed remittance agents such as hawala or hundi brokers as they may run away with your money. ","If you cannot remit money back home, you can seek help from your employer or contact the Migrant Workers' Centre (MWC) at 6536 2692 for advice. They can provide guidance on how to resolve any financial difficulties you may be facing. Thanks for asking!.","{'38MONEY MATTERS \nGood Financial Habits\nRemember why you came to Singapore to work. It is to earn money to send home to \nyour family. It is important to manage your money so that you have enough to spend \nand save.\n1.   Learn how to budget  \n    Budgeting means planning what to do with your money. Understand what your \nneeds are, e.g. pay for your family’s healthcare or education expenses, and then \nplan how much to save.  You should put aside money for your necessities.\n2.  Grow your savings\n      Set aside an amount of money monthly, and deposit it into your bank account. Plan \nfor what you can do back home with this money, e.g. build a new home, set up a \nbusiness. \n3.   Cut down on unnecessary spending \n      – Before purchasing an item, ask \n      yourself whether you really need it.\nRemit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre', 'moneylenders. Do not help any moneylender to give loans to your friends in return for \nany benefit. If you do, your work permit will be revoked and you will not be allowed to \nwork in Singapore again.\nLearn to Identify Unlicensed Moneylenders  \n•   They have no shopfront.\n•   They send you a message via SMS/Facebook or call\n      you to take loans from them.\nIgnore Unlicensed Moneylenders\n•    Do not believe the offer of ‘free money’ or ‘interest-free loan’.  Ignore these\n      messages and delete any texts immediately.', '41Self-exclusion Framework\nYou can apply for self-exclusion by submitting your application online, so that licensed \nmoneylenders are not allowed to lend you money. This will prevent you from borrowing \nmoney and getting into debts.\nSelf-exclusion is voluntary and is a commitment not to borrow for at least 2 years. \nYou can request your employer or employment agency to apply on your behalf at \nwww.mlcb.com.sg\nDo Not Act as Guarantor\nIf your friend borrows from a licensed moneylender, you are not allowed to act as your \nfriend’s guarantor.If you earn\nLess than $10,000 a year \n$10,000 and above but less than \n$20,000 a yearYou can borrow\nUp to $500\nUp to $3,000', '39\nSeek Help\nIf you face financial difficulties, approach your employer to discuss what can be done. \nYou can also contact the Migrant Workers’ Centre (MWC)  at 6536 2692 for advice. • Ask your Employer for Assistance\n    If you are unable to send money home on your own, ask your employer to assist \nyou. Your employer must show you proof of the successful remittance transaction. \n It is not safe to carry large amounts of cash in crowded public places. \n Do not engage unlicensed remittance agents such as hawala or hundi brokers as \nthey may run away with your money. \n It is illegal to operate an unlicensed remittance business, or to be involved with \none. If caught doing so, you will be fined up to $100,000 or jailed for up to 2 \nyears, or both. Your work permit will be revoked. \nUnlicensed Moneylenders \nDo not borrow from unlicensed moneylenders and do not act as runners or brokers for \nmoneylenders. Do not help any moneylender to give loans to your friends in return for', '18Your employer cannot forcibly send you back to your home country if he owes you  \nany salary or any other payments due to you. \nIf you have any outstanding salary or claim, and you have been sent to the airport \nwith no means to leave, you should approach the airport authorities at Singapore \nImmigration counters. You will be referred to MOM for assistance.Salary Claims and Employment Benefits\nIf you have any salary claims, and/or employment disputes against your employer, you \nshould approach MOM or TADM as early as possible. By coming forward early, your \nchances of recovering your owed salary in full will be higher, and you will be given time \nto look for a new employer. If needed, you will get assistance with food and housing.\nYour Singapore Employment AgencyIMPORTANT NOTE\nFee Cap on Employment Agency Fees\nYou should pay no more than 1 month of your fixed monthly salary for each year \nof your work permit validity or duration of employment contract, whichever is', 'when your employer submits the incident report to MOM. \n• While the claim is being processed, you should remain with your employer, as he is \nrequired to continue to provide you with food and housing. If your employer forces \nyou to return to your home country and does not report the accident, call MOM at \n6438 5122 immediately.\n• If your employer sends you to the airport and forces you to leave Singapore, you \ncan seek assistance from the officers at the airport immigration counters.\nYou do not need a lawyer to help you with your \nWICA claim. The compensation amount is based on \na fixed formula. More than 75% of WICA claims are \nsettled within eight months from the accident date.DID YOU \nKNOW?', 'Remit Money Home Safely \n• Automated Remittance Kiosk \n    Use authorised remittance kiosks located in dormitories or at a recreation centre \nUnlicensed remittance agents such as hawala or hundi brokers may run away with \nyour money. \n•    Online Remittance Websites and Mobile Apps\n    Use only licensed online remittance services and mobile apps. Never send \nmoney home through WhatsApp or any instant messaging platforms. Check \nif the remittance company is licensed by searching their name on Monetary \nAuthority of Singapore’s website at https://eservices.mas.gov.sg/fid.', '43Embassy of the Republic of Philippines\nHigh Commission of the Democratic Socialist \nRepublic of Sri Lanka\nRoyal Thai Embassy6737 3977\n6254 6773\n6224 1797\nApproach MOM or TADM for Help\nIf you face employment issues, you can contact MOM  at 6438 5122  for assistance. \nIf you have salary issues, you can approach TADM  for assistance. TADM is located \nat MOM Services Centre Level 3, 1500 Bendemeer Road, Singapore 339946.\nIf your employer attempts to send you home forcibly without settling any of your salary, \nclaims, or cases, you should approach the officers at the airport immigration counters \nfor assistance. MOM will help you.Do not hesitate to seek help when you are feeling stressed or pressured. If you are \nfeeling down or having problems at home, speak to someone. If you do not know who \nto turn to, help is available when you call the telephone numbers above. Remember \nthat there’s always someone available to resolve your problems.', '24\n1EMPLOYER’S OBLIGATIONS\nYour employer has responsibilities to fulfil during the term of your employment. Your \nemployer is not allowed to demand or receive money from you as a condition for \nemploying you. He cannot make you pay or deduct money from your salary for the \nfollowing costs: \nWork pass \nrenewalSecurity bond Medical insurance Repatriation costs\nCompulsory \ntrainingMedical fees Levy payment\n2 3\n 4\n5 6 7\nFor example, if your work pass is due to expire, your employer must pay to renew it. He \ncannot ask you to pay or deduct money from your salary for the renewal fees. \nIf your employer makes deductions from your salary, check with your employer what \nthe deduction is for. If the deduction is for any of the costs listed above, report to \nMOM  immediately by calling 6438 5122 , or approach MOM Services Centre at 1500 \nBendemeer Road, Singapore 339946.', 'MOM  immediately by calling 6438 5122  or approach MOM Services Centre at 1500 \nBendemeer Road, Singapore 339946. \nFee Refund\nIf your employer terminates your employment within 6 months, you must be refunded \nat least 50% of the agency fees you paid to the Singapore employment agency. \nHowever, you cannot get a refund if it was your decision to terminate the employment.\nThe above applies only to employment agencies operating in Singapore. \nMOM will not be able to help you with any dispute with your employment agency in \nyour home country, or to recover fees paid to employment agencies in your\nhome country.'}"
"If I am sick, what doctor can I go to?","You may go to any healthcare providers under the Primary Care Plan (PCP). This can be done through telemedicine or by visiting the medical centre itself. You may visit the link to find out which healthcare providers are under the PCP
https://www.mom.gov.sg/primary-care-plan/getting-primary-care-services",,
How to make claims for my workplace injury treatment?,"For temporary incapacity cases - report the accident to your employer and seek compensation for medical leave wages and medical treatment related to the work accident. Temporary incapacity refers to an injured employee being temporarily unable to perform work and earn their usual wages after being placed on medical leave.
For permanent incapacity cases, visit the following link for the steps to make your claim - https://www.mom.gov.sg/workplace-safety-and-health/work-injury-compensation/employees-how-to-claim#report-the-accident-to-employer",,
How do I renew my work permit?,"To renew your work permit kindly notify your employer 7-12 weeks before the expiry of your work permit. You may visit the link below for more information on renewing your work permit
https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/renew-a-work-permit",,
Will I be covered by insurance by my employer?,You will be entitled to medical insurance that is bought by your employer. For more information you may visit the link below - https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-worker/sector-specific-rules/medical-insurance,,
Where are some places I can access support and help?,"You can contact the Migrant Workers’ Centre (MWC) at 6536 2692 if you have concerns about employment. You can contact Samaritans of Singapore (SOS) at 1800 2214 444 if you need help for personal issues, counselling for depression or personal issues. You can contact HealthServe at 3138 4443 if you require medical care, counselling or social assistance.  https://www.mom.gov.sg/-/media/mom/documents/publications/mw-guides/mw-handy-guide-english.pdf ",,
Where do I go if I need access to legal services? ,"If you require legal assistance or services, you can contact the Legal Clinic by Migrant Workers’ Centre (MWC) at 6536 2692. If you need further assistance after contacting them, they will arrange a session to meet with you to address your concerns. https://www.mwc.org.sg/how-we-help/legal-clinic ",,
What should I do if my employer deducted my salary?,"Your employer can only deduct due to the following reasons:
You were absent from work without consent
Employer has paid for meals that you requested for
Employer has paid for housing/accommodation, amenities and services that you accepted
Goods or money entrusted to you was lost or damaged
Written consent was given
If none of the reasons fit or have happened, you may report to MOM or the Tripartite Alliance for Dispute Management (TADM). TADM is located at MOM Services Centre. ",,
Can I do other jobs if requested by my employer?,You must only work in the occupation and for the employers specified on your work permit card. You are not allowed to work in another occupation even if you are instructed by your employer.,,
